,date,hashtag,count
0,Apr30,covid19australia,5
1,Apr30,foi,5
2,Apr30,southaustralia,3
3,Apr30,abcnews,2
4,Apr30,covid19,2
5,Apr30,activision,1
6,Apr30,afterlife,1
7,Apr30,art,1
8,Apr30,artist,1
9,Apr30,artwork,1
10,May01,apexlegends,242
11,May01,loba,238
12,May01,southaustralia,147
13,May01,covid19,131
14,May01,mixervirtualconcert,124
15,May01,breaking,110
16,May01,covid19australia,98
17,May01,foi,95
18,May01,adelaide,79
19,May01,9news,60
20,May02,apexlegends,201
21,May02,loba,189
22,May02,southaustralia,100
23,May02,breaking,87
24,May02,9news,68
25,May02,wine,68
26,May02,adelaide,49
27,May02,smackdown,48
28,May02,covid19,47
29,May02,stayhome,46
30,May03,breaking,124
31,May03,southaustralia,109
32,May03,covid19australia,100
33,May03,foi,82
34,May03,thelastdance,77
35,May03,bokunoheroacademia,75
36,May03,presentmic,74
37,May03,voicehero,74
38,May03,ahatintime,66
39,May03,apexlegends,57
40,May04,apexlegends,294
41,May04,loba,289
42,May04,its_stark,159
43,May04,maythe4th,131
44,May04,breaking,124
45,May04,southaustralia,118
46,May04,qanda,115
47,May04,covidsafeapp,113
48,May04,thelastdance,111
49,May04,covid19,102
50,May05,happybaekhyunday,259
51,May05,자랑스러운_큥이날,259
52,May05,해피큥데이,259
53,May05,apexlegends,146
54,May05,loba,143
55,May05,southaustralia,139
56,May05,covidー19,127
57,May05,breaking,124
58,May05,covid19,119
59,May05,adelaide,61
60,May06,impostersyndrome,237
61,May06,covid19,203
62,May06,happybaekhyunday,190
63,May06,자랑스러운_큥이날,190
64,May06,해피큥데이,190
65,May06,southaustralia,154
66,May06,apexlegends,129
67,May06,foi,114
68,May06,breaking,111
69,May06,worldwidebiblestudy,106
70,May07,apexlegends,212
71,May07,wattson,197
72,May07,covid19,177
73,May07,breaking,110
74,May07,impostersyndrome,110
75,May07,southaustralia,109
76,May07,adelaide,90
77,May07,wine,75
78,May07,pell,54
79,May07,photography,53
80,May08,lmtv,158
81,May08,covid19,152
82,May08,taylorswiftcityoflover,125
83,May08,southaustralia,109
84,May08,covid,105
85,May08,lmbreakupsong,80
86,May08,adelaide,77
87,May08,auspol,76
88,May08,apexlegends,57
89,May08,impostersyndrome,55
90,May09,hollowknight,123
91,May09,acnh,54
92,May09,animalcrossing,49
93,May09,nintendoswitch,46
94,May09,sloganbogan,46
95,May09,adelaide,39
96,May09,covid19,39
97,May09,farscapenow,34
98,May09,southaustralia,28
99,May09,wine,28
100,May10,covid19,107
101,May10,ufc249,94
102,May10,mothersday,76
103,May10,adelaide,63
104,May10,auspol,53
105,May10,sloganbogan,51
106,May10,wine,46
107,May10,mitb,44
108,May10,globalrepentancecall,41
109,May10,coronavirus,40
110,May11,obamagate,350
111,May11,researchresources,150
112,May11,jesytaughtme,108
113,May11,mediawatch,91
114,May11,covid19,88
115,May11,siaiscoming,80
116,May11,mitb,75
117,May11,adelaide,68
118,May11,auspol,59
119,May11,wine,49
120,May12,obamagate,218
121,May12,writingresources,147
122,May12,adelaide,107
123,May12,covid19,80
124,May12,globalrepentancecall,55
125,May12,auspol,53
126,May12,wine,52
127,May12,researchresources,50
128,May12,internationalnursesday,48
129,May12,wweraw,44
130,May13,rubyprincess,215
131,May13,hollowknight,139
132,May13,auspol,132
133,May13,covid19,93
134,May13,adelaide,90
135,May13,im_iron_man,77
136,May13,aewdark,62
137,May13,dead_soul,53
138,May13,wine,50
139,May13,southaustralia,41
140,May14,crypto,259
141,May14,ethereum,259
142,May14,giveawayalert,259
143,May14,covid19,238
144,May14,7phdsecrets,89
145,May14,auspol,86
146,May14,rubyprincess,78
147,May14,adelaide,58
148,May14,9news,44
149,May14,wine,43
150,May15,covid19,310
151,May15,southaustralia,170
152,May15,breaking,103
153,May15,globalfridayservice,84
154,May15,auspol,61
155,May15,adelaide,57
156,May15,weflyasone,51
157,May15,daisies,49
158,May15,ntk_selfsustainablepolicy,46
159,May15,siaiscoming,46
