,date,hashtag,count
0,May01,auspol,126
1,May01,bluey,61
2,May01,kiribaku,59
3,May01,切爆,59
4,May01,bnha,56
5,May01,mha,56
6,May01,ヒロアカ,56
7,May01,krbk,55
8,May01,rubydutton,53
9,May01,animalcrossing,34
10,May02,auspol,252
11,May02,rubydutton,119
12,May02,covid19,107
13,May02,blog,100
14,May02,brisbane,88
15,May02,kindle,86
16,May02,ibooks,82
17,May02,bnha,73
18,May02,kiribaku,73
19,May02,krbk,73
20,May03,auspol,437
21,May03,masterchefau,170
22,May03,covid19,154
23,May03,bluey,115
24,May03,kindle,114
25,May03,coronavirus,92
26,May03,australia,91
27,May03,ibooks,91
28,May03,ns10v10,87
29,May03,asmsg,82
30,May04,bluey,972
31,May04,auspol,285
32,May04,drkashcaptionchallenge,235
33,May04,asmsg,172
34,May04,maga,169
35,May04,kag,166
36,May04,kindle,164
37,May04,qanda,155
38,May04,iartg,153
39,May04,ibooks,150
40,May05,freehongkong,577
41,May05,bluey,483
42,May05,auspol,198
43,May05,asmsg,173
44,May05,covid19,159
45,May05,kindle,154
46,May05,covid_19,152
47,May05,iartg,151
48,May05,ibooks,145
49,May05,tanroncal,140
50,May06,freehongkong,850
51,May06,auspol,351
52,May06,covid19,242
53,May06,asmsg,192
54,May06,covid_19,177
55,May06,kindle,171
56,May06,iartg,162
57,May06,spub,155
58,May06,ibooks,144
59,May06,ian1,120
60,May07,freehongkong,313
61,May07,auspol,224
62,May07,asmsg,211
63,May07,acnh,187
64,May07,covid19,181
65,May07,iartg,179
66,May07,kindle,160
67,May07,ibooks,155
68,May07,spub,154
69,May07,blog,148
70,May08,acnh,337
71,May08,bluey,243
72,May08,auspol,129
73,May08,maga,118
74,May08,kag,116
75,May08,insiders,106
76,May08,covid19,103
77,May08,rubyprincess,100
78,May08,asmsg,98
79,May08,meeanjin,97
80,May09,acnh,237
81,May09,bluey,200
82,May09,auspol,155
83,May09,asmsg,144
84,May09,iartg,121
85,May09,ibooks,117
86,May09,kindle,110
87,May09,spub,109
88,May09,ian1,93
89,May09,romance,73
90,May10,bluey,1052
91,May10,asmsg,187
92,May10,covid19,172
93,May10,acnh,168
94,May10,ufc249,167
95,May10,kindle,165
96,May10,iartg,164
97,May10,ibooks,139
98,May10,spub,128
99,May10,ian1,120
100,May11,obamagate,402
101,May11,bluey,341
102,May11,sportsrorts,305
103,May11,morrisonfires,289
104,May11,auspol,193
105,May11,covid19,186
106,May11,asmsg,169
107,May11,qanda,164
108,May11,ibooks,162
109,May11,iartg,157
110,May12,obamagate,459
111,May12,bluey,383
112,May12,auspol,301
113,May12,maga,199
114,May12,kag,192
115,May12,standwithhongkong,157
116,May12,animalcrossingnewhorizons,156
117,May12,covid19,149
118,May12,acnh,147
119,May12,masterchefau,141
120,May13,auspol,590
121,May13,bluey,415
122,May13,qt,313
123,May13,covid19,137
124,May13,obamagate,127
125,May13,mayachannelxmewsuppasit,116
126,May13,covid_19,112
127,May13,sportsrorts,103
128,May13,masterchefau,98
129,May13,blog,93
130,May14,auspol,468
131,May14,検察庁法改正案の強行採決に反対します,368
132,May14,検察庁法改正の強行採決に反対します,244
133,May14,asmsg,209
134,May14,iartg,179
135,May14,kindle,175
136,May14,masterchefau,171
137,May14,ibooks,170
138,May14,warcraft,153
139,May14,spub,150
140,May15,auspol,281
141,May15,asmsg,171
142,May15,iartg,154
143,May15,kindle,134
144,May15,covid19,131
145,May15,ibooks,131
146,May15,แฟนซีหมาเซเลป,129
147,May15,spub,123
148,May15,ian1,105
149,May15,warcraft,97
