,date,hashtag,count
0,Apr30,coronavirus,33
1,Apr30,auspol,26
2,Apr30,COVID19,24
3,Apr30,Canberra,23
4,Apr30,RNBreakfast,21
5,Apr30,BREAKING,17
6,Apr30,MayDay,14
7,Apr30,Coronavirus,8
8,Apr30,CovidApp,8
9,Apr30,covid19,8
10,May01,COVID19,308
11,May01,auspol,156
12,May01,coronavirus,104
13,May01,LIVE,85
14,May01,BREAKING,66
15,May01,Canberra,61
16,May01,covid19,51
17,May01,CyberDigest,50
18,May01,COVIDSafe,43
19,May01,Coronavirus,40
20,May02,auspol,279
21,May02,Asteroid2020,206
22,May02,coronavirus,142
23,May02,CovidApp,132
24,May02,Insiders,120
25,May02,Covid19,113
26,May02,SARSCoV2,83
27,May02,insiders,83
28,May02,COVID19,78
29,May02,PhD,64
30,May03,auspol,369
31,May03,insiders,211
32,May03,Bennelong,198
33,May03,coronavirus,105
34,May03,COVID__19,104
35,May03,COVID19,74
36,May03,Insiders,64
37,May03,Covid19,63
38,May03,BREAKING,62
39,May03,CovidApp,60
40,May04,auspol,423
41,May04,coronavirus,170
42,May04,SARSCoV2,149
43,May04,Covid19,122
44,May04,CovidApp,112
45,May04,ShehnaazGill,89
46,May04,uspoli,80
47,May04,TheDrum,74
48,May04,COVID19,72
49,May04,covid19,64
50,May05,auspol,475
51,May05,coronavirus,179
52,May05,COVID19,148
53,May05,COVIDー19,132
54,May05,CovidApp,119
55,May05,Covid19,98
56,May05,LoyalWingman,74
57,May05,LIVE,69
58,May05,TheDrum,67
59,May05,cats,64
60,May06,auspol,769
61,May06,COVID19,181
62,May06,EdenMonaro,152
63,May06,nswpol,130
64,May06,coronavirus,116
65,May06,Covid19,100
66,May06,CovidApp,85
67,May06,MilesGuo,70
68,May06,maga,67
69,May06,uspoli,67
70,May07,auspol,505
71,May07,abuse,330
72,May07,pell,264
73,May07,COVID19,188
74,May07,TheDrum,176
75,May07,Abuse,155
76,May07,DSS43,140
77,May07,Religion,121
78,May07,cathywilcox1,102
79,May07,religion,100
80,May08,auspol,1165
81,May08,COVID19,239
82,May08,coronavirus,235
83,May08,BREAKING,121
84,May08,7NEWS,120
85,May08,KehGayiSorryTeaserOut,85
86,May08,GlobalRepentanceCall,67
87,May08,Canberra,56
88,May08,Australia,54
89,May08,hydroxychloroquine,53
90,May09,auspol,341
91,May09,coronavirus,194
92,May09,Insiders,127
93,May09,COVID19,118
94,May09,Covid19,116
95,May09,CovidApp,106
96,May09,uspoli,105
97,May09,uspolitics,102
98,May09,maga,101
99,May09,Coronavirus,85
100,May10,auspol,167
101,May10,MothersDay,132
102,May10,COVID19,117
103,May10,coronavirus,92
104,May10,CovidApp,86
105,May10,JanganPercayaBoneka,72
106,May10,Covid_19,47
107,May10,uspoli,44
108,May10,Insiders,42
109,May10,MasterChefAU,42
110,May11,auspol,410
111,May11,coronavirus,156
112,May11,COVID19,131
113,May11,CovidApp,122
114,May11,uspoli,116
115,May11,Covid19,111
116,May11,covid19,97
117,May11,TheDrum,95
118,May11,qanda,71
119,May11,QandA,64
120,May12,auspol,1012
121,May12,coronavirus,274
122,May12,InternationalNursesDay,217
123,May12,CovidApp,208
124,May12,qt,161
125,May12,Covid19,152
126,May12,COVID19,143
127,May12,QT,113
128,May12,scomo,101
129,May12,TheDrum,83
130,May13,auspol,413
131,May13,qt,244
132,May13,COVID19,154
133,May13,MyallCreek,130
134,May13,coronavirus,111
135,May13,CovidApp,92
136,May13,covid19au,87
137,May13,ShehnaazGill,71
138,May13,Covid19,68
139,May13,covid19,54
140,May14,Adani,411
141,May14,auspol,390
142,May14,COVID19,280
143,May14,coronavirus,202
144,May14,CovidApp,145
145,May14,vaccine,138
146,May14,Kashmir,95
147,May14,Modi,94
148,May14,QT,74
149,May14,covid19,72
150,May15,auspol,168
151,May15,Adani,133
152,May15,COVID19,104
153,May15,GlobalFridayService,97
154,May15,7NEWS,45
155,May15,Canberra,37
156,May15,covid19,35
157,May15,maga,35
158,May15,uspoli,35
159,May15,uspolitics,35
