,city,date,hashtag,count,mean,neg,neg%
546,Adelaide,01, southaustralia,109,0.13308289315170066,7.0,0.06422018348623854
91,Adelaide,01, breaking,103,0.13387025595763477,0.0,0.0
134,Adelaide,01, covid19,97,0.07700662739322534,26.0,0.26804123711340205
407,Adelaide,01, mixervirtualconcert,89,0.07682584269662916,50.0,0.5617977528089888
48,Adelaide,01, apexlegends,63,0.3873015873015869,0.0,0.0
360,Adelaide,01, loba,59,0.3999999999999997,0.0,0.0
20,Adelaide,01, adelaide,52,0.10430349164724163,16.0,0.3076923076923077
57,Adelaide,01, auspol,42,0.12090012368583804,3.0,0.07142857142857142
129,Adelaide,01, coronavirus,41,0.09769757681343053,11.0,0.2682926829268293
12,Adelaide,01, 9news,37,0.031933865683865664,8.0,0.21621621621621623
726,Adelaide,02, apexlegends,146,0.4823630136986301,1.0,0.00684931506849315
1019,Adelaide,02, loba,136,0.4985294117647059,0.0,0.0
703,Adelaide,02, 9news,60,0.06424783549783555,1.0,0.016666666666666666
1248,Adelaide,02, smackdown,41,0.5616361788617883,2.0,0.04878048780487805
813,Adelaide,02, covid19,35,0.12613095238095237,3.0,0.08571428571428572
1370,Adelaide,02, wine,29,0.06635318704284225,0.0,0.0
701,Adelaide,02, 6fanarts,28,0.18068452380952385,0.0,0.0
708,Adelaide,02, adelaide,26,0.20349456099456098,5.0,0.19230769230769232
1319,Adelaide,02, travel,25,0.05123232323232324,1.0,0.04
828,Adelaide,02, dailyglobalsermon,24,0.2119791666666667,4.0,0.16666666666666666
1494,Adelaide,03, breaking,117,0.3197358197358201,34.0,0.2905982905982906
1962,Adelaide,03, southaustralia,98,0.42228664192949944,1.0,0.01020408163265306
1490,Adelaide,03, bokunoheroacademia,75,0.2995833333333333,0.0,0.0
1878,Adelaide,03, presentmic,74,0.296875,0.0,0.0
2048,Adelaide,03, voicehero,74,0.296875,0.0,0.0
1444,Adelaide,03, apexlegends,45,0.4606172839506173,2.0,0.044444444444444446
1408,Adelaide,03, 9news,44,-0.01167355371900825,38.0,0.8636363636363636
1540,Adelaide,03, covid19,40,0.0358015422077922,5.0,0.125
1752,Adelaide,03, loba,40,0.5,0.0,0.0
1412,Adelaide,03, adelaide,38,0.21194477671451353,7.0,0.18421052631578946
2143,Adelaide,04, apexlegends,287,0.131794425087108,0.0,0.0
2433,Adelaide,04, loba,287,0.131794425087108,0.0,0.0
2194,Adelaide,04, breaking,121,0.0685233881514875,3.0,0.024793388429752067
2454,Adelaide,04, maythe4th,111,0.07634976697476709,3.0,0.02702702702702703
2565,Adelaide,04, qanda,111,0.030363480363480275,3.0,0.02702702702702703
2622,Adelaide,04, southaustralia,105,0.08221801346801366,0.0,0.0
2233,Adelaide,04, covid_19,93,0.04426523297491038,1.0,0.010752688172043012
2227,Adelaide,04, covid19,77,0.09140802739828718,25.0,0.3246753246753247
2246,Adelaide,04, culture,76,0.6039473684210526,0.0,0.0
2438,Adelaide,04, love,67,0.47947761194029853,0.0,0.0
2807,Adelaide,05, apexlegends,141,0.1276595744680851,0.0,0.0
3113,Adelaide,05, loba,141,0.1276595744680851,0.0,0.0
2915,Adelaide,05, covidー19,124,0.1736055107526881,0.0,0.0
3336,Adelaide,05, southaustralia,117,0.1851193559526892,3.0,0.02564102564102564
2848,Adelaide,05, breaking,112,0.16603760822510824,9.0,0.08035714285714286
2905,Adelaide,05, covid19,84,0.13509499759499763,8.0,0.09523809523809523
3256,Adelaide,05, qanda,55,0.027083333333333345,0.0,0.0
2783,Adelaide,05, adelaide,41,0.17685996140264432,13.0,0.3170731707317073
2825,Adelaide,05, auspol,35,0.0708174860853432,9.0,0.2571428571428571
2777,Adelaide,05, 9news,32,-0.00014717487373737403,12.0,0.375
3774,Adelaide,06, impostersyndrome,225,0.19418350168350162,0.0,0.0
3632,Adelaide,06, covid19,170,0.09116798234445311,12.0,0.07058823529411765
4039,Adelaide,06, southaustralia,121,0.0742580766341097,2.0,0.01652892561983471
3571,Adelaide,06, breaking,108,0.04815165544332217,0.0,0.0
3715,Adelaide,06, foi,103,-0.06666666666666662,103.0,1.0
3643,Adelaide,06, covidー19,102,0.04419934640522883,0.0,0.0
3491,Adelaide,06, adelaide,67,0.13672426108993269,6.0,0.08955223880597014
3628,Adelaide,06, coronavirus,66,0.06754489337822672,18.0,0.2727272727272727
3482,Adelaide,06, 9news,59,0.1253925453077995,3.0,0.05084745762711865
3473,Adelaide,06, 10newsfirst,45,0.07801346801346805,0.0,0.0
4240,Adelaide,07, apexlegends,193,-0.021280532938564,178.0,0.9222797927461139
4862,Adelaide,07, wattson,178,-0.03571428571428564,178.0,1.0
4329,Adelaide,07, covid19,151,0.15856501390441796,5.0,0.033112582781456956
4756,Adelaide,07, southaustralia,90,0.06750408850408866,1.0,0.011111111111111112
4487,Adelaide,07, impostersyndrome,87,0.17608847091605714,2.0,0.022988505747126436
4212,Adelaide,07, adelaide,66,0.2503267250426342,12.0,0.18181818181818182
4282,Adelaide,07, breaking,48,0.15521622474747476,1.0,0.020833333333333332
4310,Adelaide,07, cleantech,44,0.05,0.0,0.0
4698,Adelaide,07, renewables,43,0.05000000000000001,0.0,0.0
4538,Adelaide,07, live,28,0.0797483766233766,0.0,0.0
5031,Adelaide,08, covid,105,0.3742857142857143,0.0,0.0
5032,Adelaide,08, covid19,94,0.11144711310363327,21.0,0.22340425531914893
5225,Adelaide,08, lmtv,65,-0.07211538461538461,27.0,0.4153846153846154
4930,Adelaide,08, apexlegends,57,-0.004991645781119467,49.0,0.8596491228070176
5172,Adelaide,08, impostersyndrome,54,-0.10444958847736625,42.0,0.7777777777777778
5522,Adelaide,08, wattson,49,-0.041520894071914505,49.0,1.0
5014,Adelaide,08, cleantech,46,0.049999999999999996,0.0,0.0
5364,Adelaide,08, renewables,46,0.049999999999999996,0.0,0.0
5323,Adelaide,08, phdchat,43,-0.18372093023255814,42.0,0.9767441860465116
5081,Adelaide,08, ecrchat,42,-0.19047619047619047,42.0,1.0
6052,Adelaide,09, sloganbogan,46,-0.7142857142857145,46.0,1.0
5706,Adelaide,09, covid19,34,0.10769644979203799,8.0,0.23529411764705882
5696,Adelaide,09, coronavirus,23,0.15056543697848046,4.0,0.17391304347826086
5570,Adelaide,09, 9news,21,0.02745310245310246,12.0,0.5714285714285714
5767,Adelaide,09, farscapenow,20,0.04818885281385282,9.0,0.45
5578,Adelaide,09, adelaide,18,0.23230699855699857,4.0,0.2222222222222222
5918,Adelaide,09, mitb,18,0.12373737373737373,0.0,0.0
5931,Adelaide,09, mothersday,16,0.4051764455782313,2.0,0.125
6069,Adelaide,09, southaustralia,15,0.1658754208754209,3.0,0.2
5643,Adelaide,09, breaking,13,-0.003671328671328664,11.0,0.8461538461538461
6534,Adelaide,10, mothersday,65,0.4379944542636852,6.0,0.09230769230769231
6308,Adelaide,10, covid19,62,0.1086911356266195,12.0,0.1935483870967742
6685,Adelaide,10, sloganbogan,51,-0.7142857142857146,51.0,1.0
6764,Adelaide,10, ufc249,50,0.11871316858597131,17.0,0.34
6201,Adelaide,10, adelaide,41,0.2812041143138705,4.0,0.0975609756097561
6240,Adelaide,10, auspol,29,0.5201867816091952,1.0,0.034482758620689655
6521,Adelaide,10, mitb,23,0.1637987012987013,6.0,0.2608695652173913
6192,Adelaide,10, 8yrsofgabbarsinghhysteria,19,0.34999999999999987,0.0,0.0
6420,Adelaide,10, happymothersday,18,0.3070436507936508,5.0,0.2777777777777778
6583,Adelaide,10, pangarinda,17,0.14313725490196075,0.0,0.0
7311,Adelaide,11, researchresources,138,0.19534219001610295,0.0,0.0
7149,Adelaide,11, jesytaughtme,108,0.30416666666666664,0.0,0.0
7189,Adelaide,11, mediawatch,91,0.15833333333333324,0.0,0.0
6960,Adelaide,11, covid19,61,0.08347284318595795,29.0,0.47540983606557374
