,date,hashtag,count
0,May03,로제,3306
1,May03,BLACKPINK,3305
2,May03,ROSÉ,3303
3,May03,블랙핑크,3301
4,May03,auspol,764
5,May03,GFRIEND,664
6,May03,여자친구,664
7,May03,Sowon,663
8,May03,ヨジャチング,663
9,May03,Eunha,660
10,May04,BLACKPINK,2006
11,May04,로제,1996
12,May04,블랙핑크,1996
13,May04,ROSÉ,1993
14,May04,midnightsun,780
15,May04,MayTheFourthBeWithYou,729
16,May04,MayThe4th,444
17,May04,auspol,444
18,May04,BenSolo,421
19,May04,Rey,420
20,May05,namgi,800
21,May05,9YearsFor100PercentLove,713
22,May05,COVID19,487
23,May05,MasterChefAU,365
24,May05,TheBool,356
25,May05,ALDUBKalyeSeryeSulyap,309
26,May05,ACNH,272
27,May05,AnimalCrossing,267
28,May05,pennywise,261
29,May05,richietozier,261
30,May06,9YearsFor100PercentLove,2056
31,May06,auspol,864
32,May06,COVID19,465
33,May06,NintendoSwitch,339
34,May06,8YearsWithRosé,328
35,May06,MasterChefAU,307
36,May06,PokemonSwordandShield,278
37,May06,leon,278
38,May06,pokemon,278
39,May06,raihan,278
40,May07,Pell,3092
41,May07,auspol,636
42,May07,COVID19,537
43,May07,Simba,469
44,May07,Guayaquil,442
45,May07,ACNH,384
46,May07,NintendoSwitch,328
47,May07,acnh,306
48,May07,F1,299
49,May07,animalcrossing,295
50,May08,STUCKWITHU,924
51,May08,Pell,598
52,May08,auspol,499
53,May08,COVID19,393
54,May08,StuckWithU,248
55,May08,ACNH,242
56,May08,COVID19Aus,216
57,May08,NintendoSwitch,150
58,May08,dv,149
59,May08,AnimalCrossing,138
60,May12,BREAKING,1675
61,May12,ObamaGate,1117
62,May12,CCP,882
63,May12,Taiwan,861
64,May12,NewZealand,708
65,May12,MasterChefAU,676
66,May12,InternationalNursesDay,417
67,May12,GOODGUYS,414
68,May12,F1,402
69,May12,COVID19,335
70,May13,Australia,991
71,May13,DomesticViolence,702
72,May13,ObamaGate,584
73,May13,auspol,409
74,May13,COVID19,403
75,May13,CCP,383
76,May13,angusgate,338
77,May13,NintendoSwitch,301
78,May13,F1,263
79,May13,Taiwan,246
80,May14,China,798
81,May14,Canadians,740
82,May14,Huawei,740
83,May14,Survivor,630
84,May14,MasterChefAU,601
85,May14,COVID19,478
86,May14,ACNH,477
87,May14,Australia,465
88,May14,F1,452
89,May14,Canada,447
90,May15,ACNH,444
91,May15,imgxnct,372
92,May15,COVID19,314
93,May15,AnimalCrossingNewHorizions,283
94,May15,DoubleStandards,263
95,May15,GoTaylah,261
96,May15,China,234
97,May15,NintendoSwitch,213
98,May15,Huawei,183
99,May15,Canadians,182
