,date,hashtag,count
0,May01,UniversalRepentance,128
1,May01,لضمير_الامة,92
2,May01,COVID19,78
3,May01,Perth,67
4,May01,AnimalCrossing,43
5,May01,auspol,38
6,May01,ACNH,37
7,May01,NintendoSwitch,37
8,May01,SARSCoV2,31
9,May01,meghanmarkle,23
10,May02,COVID19,551
11,May02,PerthppeLiveXCathydoll,192
12,May02,auspol,77
13,May02,NintendoSwitch,73
14,May02,DailyGlobalSermon,67
15,May02,ACNH,56
16,May02,AnimalCrossing,55
17,May02,RubyDutton,45
18,May02,لضمير_الامة,45
19,May02,marketing,43
20,May03,COVID19,293
21,May03,MagnusPod,85
22,May03,TheMagnusArchives,85
23,May03,auspol,72
24,May03,SaveSanditon,63
25,May03,Sanditon,59
26,May03,Australia,56
27,May03,marketing,56
28,May03,KDPPE,54
29,May03,SARSCoV2,49
30,May04,COVID19,159
31,May04,CovidApp,128
32,May04,MagnusPod,103
33,May04,TheMagnusArchives,103
34,May04,MayThe4thBeWithYou,76
35,May04,GeneralFlynn,66
36,May04,ACNH,56
37,May04,PreparationOfTheChurch,55
38,May04,AnimalCrossing,54
39,May04,NintendoSwitch,54
40,May05,SEVENTEEN,850
41,May05,COVID19,256
42,May05,CincoDeMayo,180
43,May05,Jobseeker,139
44,May05,auspol,103
45,May05,KDPPE,80
46,May05,CashlessDebitCard,76
47,May05,COVIDー19,65
48,May05,BTS,50
49,May05,perth,50
50,May06,pay,666
51,May06,SEVENTEEN,344
52,May06,COVID19,209
53,May06,AussieHearties,123
54,May06,auspol,109
55,May06,WorldwideBibleStudy,91
56,May06,AscotGoodTimes,71
57,May06,Claremont,59
58,May06,business,56
59,May06,homework,51
60,May07,COVID19,222
61,May07,auspol,178
62,May07,SVT_Fallin_Flower,134
63,May07,8music,114
64,May07,The8_Falling_down,114
65,May07,PrimarySTEMChat,113
66,May07,children,86
67,May07,GlobalBibleSeries,85
68,May07,COVID19Aus,77
69,May07,DSP,77
70,May08,MewSuppasit,427
71,May08,Ridin1stwin,90
72,May08,COVID19,60
73,May08,BTOB,45
74,May08,비투비,45
75,May08,이민혁,40
76,May08,auspol,39
77,May08,GlobalRepentanceCall,37
78,May08,top3,31
79,May08,COVID19Aus,25
80,May09,NTRBirthdayCDP,321
81,May09,MewSuppasit,182
82,May09,AscotGoodTimes,82
83,May09,auspol,81
84,May09,COVID19,69
85,May09,ACNH,46
86,May09,NintendoSwitch,43
87,May09,children,40
88,May09,2020MarchForEU,39
89,May09,EuropeDay,39
90,May10,NTRBirthdayCDP,1058
91,May10,COVID19,255
92,May10,UFC249,90
93,May10,auspol,78
94,May10,marketing,71
95,May10,ObamaGate,60
96,May10,MothersDay,46
97,May10,PrimarySTEMChat,42
98,May10,business,41
99,May10,COVID19Aus,37
100,May11,obamagate,222
101,May11,ObamaGate,142
102,May11,Jobseeker,114
103,May11,COVID19,76
104,May11,SARSCoV2,67
105,May11,NewYork,60
106,May11,marketing,50
107,May11,auspol,46
108,May11,daigodojima,41
109,May11,business,40
110,May12,COVID19,190
111,May12,Jobseeker,108
112,May12,auspol,67
113,May12,science,59
114,May12,scicomm,57
115,May12,GlobalRepentanceCall,51
116,May12,daigodojima,50
117,May12,ChildSexualAbuse,48
118,May12,ryugagotoku,47
119,May12,yakuza,47
120,May13,COVID19,525
121,May13,COVIDー19,359
122,May13,Kawasaki,331
123,May13,Jobseeker,271
124,May13,BREAKING,264
125,May13,children,120
126,May13,auspol,91
127,May13,goromajima,58
128,May13,Singapore,52
129,May13,NintendoSwitch,50
130,May14,COVID19,275
131,May14,Kawasaki,177
132,May14,BREAKING,151
133,May14,children,150
134,May14,auspol,135
135,May14,PrimarySTEMChat,117
136,May14,Destiny2,62
137,May14,destinythegame,62
138,May14,bishopdagmyhero,57
139,May14,PIMS,55
140,May15,MagnusPod,131
141,May15,jonmartin,131
142,May15,tma,131
143,May15,COVID19,119
144,May15,PERTHsSound,104
145,May15,auspol,101
146,May15,Covid19,52
147,May15,2getherTheSeriesFinale,51
148,May15,NintendoSwitch,49
149,May15,marketing,49
