,date,hashtag,count
0,May03,edenmonaro,891
1,May03,aldubkalyeseryeangsimula,633
2,May03,masterchefau,563
3,May03,insiders,519
4,May03,potus,486
5,May03,covid19,398
6,May03,auspol,330
7,May03,scottyfrommarketing,234
8,May03,coronavirus,222
9,May03,nintendoswitch,221
10,May04,covid19,944
11,May04,aldubkalyeseryeangsimula,868
12,May04,sydney,817
13,May04,legendofzelda,756
14,May04,fe3h,754
15,May04,nintendo,754
16,May04,fireemblem,744
17,May04,fireemblemthreehouses,740
18,May04,zeldaoot,737
19,May04,maythe4th,729
20,May05,covid19,1194
21,May05,ca3,670
22,May05,auspol,543
23,May05,ff7,398
24,May05,masterchefau,380
25,May05,cloud,343
26,May05,tifa,343
27,May05,edenmonaro,322
28,May05,coronavirus,242
29,May05,aldubkalyeseryesulyap,223
30,May06,rubyprincess,1183
31,May06,covid19,1093
32,May06,auspol,803
33,May06,edenmonaro,752
34,May06,aldubxkspabebewave,515
35,May06,masterchefau,465
36,May06,potus,453
37,May06,เป๊กผลิตโชค,268
38,May06,qanon,263
39,May06,wwg1wga,257
40,May07,pell,1288
41,May07,covid19,788
42,May07,georgepell,495
43,May07,royalcommission,468
44,May07,auspol,449
45,May07,masterchefau,434
46,May07,revelationabc,347
47,May07,aldub251stweeksary,241
48,May07,coronavirus,240
49,May07,erkencikuş,240
50,May08,covid19,491
51,May08,ジョジョ,339
52,May08,potus,317
53,May08,เป๊กผลิตโชค,281
54,May08,auspol,280
55,May08,peckpalitchoke,270
56,May08,coronavirus,197
57,May08,لجنة_إزالة_التمكين,173
58,May08,sydney,168
59,May08,covid19aus,166
60,May12,ff7r,2290
61,May12,ff7,2287
62,May12,family,934
63,May12,challengeaccepted,933
64,May12,fun,932
65,May12,next,931
66,May12,obamagate,799
67,May12,masterchefau,636
68,May12,assange,435
69,May12,auspol,358
70,May13,auspol,939
71,May13,ff7r,625
72,May13,ff7,621
73,May13,covid19,445
74,May13,obamagate,426
75,May13,masterchefau,409
76,May13,abia2020,376
77,May13,acnh,316
78,May13,potus,273
79,May13,5月14日はこいしの日,232
80,May14,masterchefau,805
81,May14,galax,780
82,May14,auspol,570
83,May14,throwbackthursday,567
84,May14,covid19,449
85,May14,survivor,330
86,May14,kfcgreencurryxmewgulf,324
87,May14,ผัวโดยไม่มีอะไรกั้น,316
88,May14,เป๊กผลิตโชค,298
89,May14,peckpalitchoke,296
90,May15,daisies,654
91,May15,covid19,621
92,May15,auspol,594
93,May15,assange,533
94,May15,laroialbum,436
95,May15,fun,367
96,May15,challenge,358
97,May15,gettingbetter,357
98,May15,justsmile,357
99,May15,nature,329
